ID,volg_nr,debtor_nr,debtor_name,project,reference,account_manager,invoice_date,period_start,total_ex_vat,total_incl_vat,paid_amount,open_amount
c15346fb-64e1-4ce6-9a10-1e7a61e64985,VFA2504950,DE2500409,Omgevingsdienst IJsselland,,Verhuur SP7 voor monitoring geluid oud en nieuw,Ron Wittebol,19-12-2025,2025/12,585.00,707.85,0.00,707.85
604369ca-259c-47c1-8ccb-a86ec0dc56d8,VFA2504949,DE1900219,Wiertsema & Partners Raadgevend Ingenieurs,,RMA-W18 T. van Slooten,,19-12-2025,2025/12,335.00,405.35,0.00,405.35
3aa7377e-c7be-4fce-83e8-6b51f1075d96,VFA2504948,A0000,Aveco de Bondt B.V.,,Div RMA-W26,,19-12-2025,2025/12,59.00,71.39,0.00,71.39
f7c11e95-1414-4e44-b84d-459576159055,VFA2504947,A0000,Aveco de Bondt B.V.,,RMA-W27  Div RMA,,19-12-2025,2025/12,153.00,185.13,0.00,185.13
1e5dc8e5-13ad-4e98-8a72-217f7eb55231,VFA2504946,A0000,Aveco de Bondt B.V.,,RMA-W28 div RMA,,19-12-2025,2025/12,120.00,145.20,0.00,145.20
ef11e99a-2f68-4f15-8862-b952c330d373,VFA2504945,DE2500408,Gemeente Amsterdam Diemerpark,SCA250900 8 x LV8 4-5 en 2 x LV8 10-10- Gem.Amsterdam-Diemerpark,8 x LV8 4-5 en 2 x LV8 10-10,Ron Wittebol,19-12-2025,2025/12,6993.00,8461.53,0.00,8461.53
e0ff0518-e424-40d2-b426-14ff4fe267b6,VFA2504944,A0000,Aveco de Bondt B.V.,SCA250886 Periodieke kosten Vallei en Veluwe,5x LV8 20L20 Vechtstromen-> vallei en veluwe,Michelle Klijn,19-12-2025,2025/12,2095.05,2535.01,0.00,2535.01
6f128a83-e582-4633-a72c-2353558b7b2b,VFA2504943,DE1600022,PWN Waterleidingbedrijf NH,SCA240811 PWN_Verzamelcontract,7x LV8 4L05-> in afwachting inkoopordernummer 19/12 RW,Michelle Klijn,19-12-2025,2025/12,5215.00,6310.15,0.00,6310.15
1f45dbde-f8d2-46c7-9a3d-152f046321f6,VFA2504942,A0019,Eco Environmental & Acoustic Engineering,SCA180258 10xSPA,Klasse 1 meters Inruil  8xSPC+ 1 x GD1,George Boersma,19-12-2025,2025/12,25215.00,25215.00,0.00,25215.00
0673485b-261d-4bc1-9279-7eac0cccad8b,VFA2504941,G0018,Gemeente Delft,"SCA160016 Gemeente Delft, geluid binnenstad",1x SP7 geluidmonitor station Doelenplein,Michelle Klijn,19-12-2025,2025/12,3328.00,4026.88,0.00,4026.88
2600dfde-9da1-4358-8801-fd64c59912d4,VFA2504940,DE1800176,Sweco Nederland B.V.,,Div RMA-> niet via portal,,19-12-2025,2025/12,85.00,102.85,0.00,102.85
082219cf-a7c0-4b0d-8336-cb7613c6a2ab,VFA2504939,DE2400376,Gemeente Haarlem,SCA240819 Aanbesteding Haarlem p.kw.,Aanbesteding Haarlem-> 25x uitgeleverd fc tvoor vrd. nog niet te factureren aan haarlem,Hans Mulder,19-12-2025,2025/12,0.00,0.00,0.00,0.00
126b7069-843c-438e-a96d-897013deedbb,VFA2504938,DE2100280,Story Event Engineering,SCA230693 9 x NP4,Periodieke kosten 1/9-1/9-> aanpassing naar 5 stuks,,19-12-2025,2025/12,6505.31,7871.43,0.00,7871.43
ea1671cc-9bbf-44d9-a748-35dee03e7a5a,VFA2504937,DE2400376,Gemeente Haarlem,SCA240819 Aanbesteding Haarlem p.kw.,Aanbesteding Haarlem Q4-2025-> voor 15 dec versturen,,15-12-2025,2025/12,-10123.00,-12248.83,-12248.83,0.00
2dcf7b40-696e-48fa-8b56-0f152ff50a33,VFA2504936,DE2400376,Gemeente Haarlem,SCA240819 Aanbesteding Haarlem p.kw.,Aanbesteding Haarlem Q4-2025-> voor 15 dec versturen,,15-12-2025,2025/12,8323.00,10070.83,0.00,10070.83
39c2da3d-e108-4d55-ba56-040e14d6ab8d,VFA2504935,DE1600068,AKRON,SCA210460 AKRON GENT 10x SPC,Periodieke kosten Q4-2025 achteraf,George Boersma,15-12-2025,2025/12,1237.50,1237.50,0.00,1237.50
372a5cd0-f41b-4c0b-9962-5746e6dbbfd8,VFA2504934,DE1600068,AKRON,SCA240804 Aanbesteding Gent/Leuven NP9+GD1,Q3+Q4 periodieke kosten achteraf -> versrturen 15-12,Mirjam Stevens,15-12-2025,2025/12,33256.07,33256.07,0.00,33256.07
228994ea-3e44-4928-9e59-8df72ed196bf,VFA2504933,G0017,Gemeente Diemen,,Montage eigen meters en verhuur accupacks,Ron Wittebol,15-12-2025,2025/12,635.00,768.35,0.00,768.35
fd39cc8d-892e-4c43-8aaa-9add38e572e6,VFA2504932,DE2200307,Socotec Geotechnics,SCA250867 HDSR - 25SP0966 - Lease,HDSR kwartaalfactuur 11/9-11/12-> info Matthew Pegels,Irene Barten,15-12-2025,2025/12,9712.50,11752.13,0.00,11752.13
6f894ad4-05ae-4d14-923e-15b56ab98d92,VFA2504931,DE2400376,Gemeente Haarlem,SCA240819 Aanbesteding Haarlem p.kw.,Meerwerk portal Aanbesteding Haarlem,Michelle Klijn,12-12-2025,2025/12,2760.00,3339.60,0.00,3339.60
bf84fbd3-d6cb-4adc-86bc-a29f2c67ffff,VFA2504930,DE1900193,Ingenieurs Bureau Land,SCA240825 78761-project GWM Gelderland deel 1,per.kn. Q4-2025-> achteraf eind dec info KBusstra,,12-12-2025,2025/12,13069.30,15813.85,0.00,15813.85
a3e12119-0dc2-4418-b1ab-b61465b45d8a,VFA2504929,DE2400377,Ingenieursbureau Kragten bv,SCA240820 Kragten-Verzamelcontract,2 x LV8 4-5  Aanvulling op VOA 2502309-> credit ivm retour,Ron Wittebol,12-12-2025,2025/12,-1378.00,-1667.38,-1667.38,0.00
d7a22dfb-3f8b-4daf-8665-d318b0dd792d,VFA2504928,DE2400376,Gemeente Haarlem,SCA240819 Aanbesteding Haarlem p.kw.,Aanbesteding Haarlem Q4-2025-> voor 15 dec versturen,,12-12-2025,2025/12,10123.00,12248.83,12248.83,0.00
be88483a-b4b3-4f0a-b0fa-a26a00df7cc1,VFA2504927,DE1600068,AKRON,,Maatwerk projector zoals in de Oude Haven-> half den factuur-> lijn 2 4 maanden ipv 6maanden,George Boersma,12-12-2025,2025/12,8065.50,8065.50,0.00,8065.50
eaa1cfbe-e635-4042-b034-badb4996414e,VFA2504926,DE1900219,Wiertsema & Partners Raadgevend Ingenieurs,SCA240762 Wiertsema_Verzamelcontract (p.kw.),10x LV8 4L05,Michelle Klijn,12-12-2025,2025/12,5669.60,6860.22,0.00,6860.22
1722d4dc-96b9-4a8f-9930-a271365acc06,VFA2504925,DE1900219,Wiertsema & Partners Raadgevend Ingenieurs,SCA240762 Wiertsema_Verzamelcontract (p.kw.),Div RMA-W41,,12-12-2025,2025/12,98.80,119.55,0.00,119.55
c8c0376d-ef75-47e3-bea7-6953ae74d744,VFA2504924,A0008,LBP Sight,SCA210540 2xNP2,msnp2f70124  Start niet meer op,,12-12-2025,2025/12,410.00,496.10,0.00,496.10
7040300b-196a-482e-86ce-0b60d43b2652,VFA2504923,A0000,Aveco de Bondt B.V.,,RMA-W27  Div RMA  intern ivm vrd,,18-12-2025,2025/12,0.00,0.00,0.00,0.00
82e9f6a8-2cb9-4fa5-8f09-a0c2ce33ad38,VFA2504922,A0000,Aveco de Bondt B.V.,,RMA-W28 div RMA-intern voor voorraad,,18-12-2025,2025/12,0.00,0.00,0.00,0.00
ac00ef64-9e03-4bfa-8178-beae862a714f,VFA2504921,DE1600068,AKRON,SCA200395 Brussel Buda Brussels,periode 01-12-2025 tot 01-12-2026 -> crediteren geen PO-nummer,George Boersma,08-12-2025,2025/12,-429.32,-429.32,-429.32,0.00
fb86874b-b0f6-40f0-ade5-78e5b7edc61c,VFA2504920,DE2100288,Welding Group Piping en Montage BV,SCA210541 3xNP4,periode 22-12 tot 22-12,Irene Barten,08-12-2025,2025/12,2680.60,3243.53,0.00,3243.53
88737121-ff9b-4a5c-8499-6cd4ab3318dc,VFA2504919,DE1800186,RUD Utrecht,SCA200446 SPC,Periodieke kosten 31-12 tot 31-12,,08-12-2025,2025/12,1290.37,1561.35,0.00,1561.35
26a02681-2a6c-4cc4-8ea6-1c4adb015ab3,VFA2504918,DE1800186,RUD Utrecht,SCA180298 2 Complete klasse 1 geluidsmeetsets,periode 20-12 tot 20-12,,08-12-2025,2025/12,2930.27,3545.63,0.00,3545.63
476fcb66-5684-4992-addc-b79d1ace91bb,VFA2504917,DE1800185,Omgevingsdienst Veluwe,SCA180299 Complete klasse 1 geluidsmeetset,periode 13-12 tot 13-12,Irene Barten,08-12-2025,2025/12,1966.04,2378.91,2378.91,0.00
68b85ac3-f48e-4fd6-9d49-4fdb5676bf19,VFA2504916,DE2000255,Omgevingsdienst Twente,SCA240824 1 x SP7-OGD Twente,periode 16-12 tot 16-12,Irene Barten,08-12-2025,2025/12,1351.82,1635.70,1635.70,0.00
92c32b78-4bd5-45d0-bd59-f9f40805517f,VFA2504915,DE1600038,Omgevingsdienst Noordzeekanaalgebied (NZKG),SCA210535 1xSPC,periode 08-12 tot 08-12-> nw inkoopnummer opgevraagd,Mirjam Stevens,22-12-2025,2025/12,2070.17,2504.91,0.00,2504.91
b2f0f3fb-e022-4004-b371-9fb01e946f73,VFA2504914,DE1600069,MIP Electronics,SCA170212 Class 1 system for city of Kuopio,Periodieke kosten 12 maanden,Mirjam Stevens,08-12-2025,2025/12,3956.66,3956.66,0.00,3956.66
93116724-8855-4679-bb7b-29dce970284a,VFA2504913,A0000,Aveco de Bondt B.V.,SCA250886 Periodieke kosten Vallei en Veluwe,Periodieke kosten Vallei en Veluwe-> nw debet berekening hele maanden,Michelle Klijn,08-12-2025,2025/12,14261.76,17256.73,0.00,17256.73
b2167ed4-0d2e-4830-a43b-dc5a88782ea7,VFA2504912,DE2100281,Air,SCA210523 2x Horecasense,Periodieke kosten 12 maanden creditering VFA2504788,Irene Barten,08-12-2025,2025/12,-501.90,-607.30,-607.30,0.00
b9e9cb33-b9ac-42c1-91d2-fd08e9482ab3,VFA2504911,A0000,Aveco de Bondt B.V.,SCA250886 Periodieke kosten Vallei en Veluwe,Periodieke kosten Vallei en Veluwe-> concept naar Ralph,Michelle Klijn,08-12-2025,2025/12,-13242.60,-16023.55,-16023.55,0.00
45b29229-8868-4b7a-bfda-d87df999b2fc,VFA2504910,DE2400347,Maessen Moto World GmbH,SCA240826 circuit Meppen 3 meters,periode 20-12-2025 tot 20-12-2026/ carry-in  periode 01-01-2026 tot 01-01-2027,,05-12-2025,2025/12,3992.59,3992.59,3992.59,0.00
34709636-73e0-4e82-8e26-67b7e58fdcbe,VFA2504909,DE1600010,Gemeente Roermond,SCA190377 NP4-msnp4f70007+msnp4f70008,periode 27-12-2025 tot 27-12-2026,Omar Jarmohamed,05-12-2025,2025/12,3539.50,4282.80,0.00,4282.80
21201abb-11a8-438d-84c0-25a6fd16ace8,VFA2504908,DE2200307,Socotec Geotechnics,SCA230688 Zaanstad-Lease 5 jaar-298x LV8,Defecte PCB,Irene Barten,05-12-2025,2025/12,0.00,0.00,0.00,0.00
3682bffb-35f2-4051-aeef-6f7baf6ed542,VFA2504907,DE2400360,Buro Hoogstraat B.V.,SCA240792 BuroHoogstraat-Verzamelcontract,RMA-W37 en RMA-W38,,05-12-2025,2025/12,39.00,47.19,47.19,0.00
d9e200b1-9380-4496-b772-022eaead7b1f,VFA2504906,DE2400360,Buro Hoogstraat B.V.,SCA240792 BuroHoogstraat-Verzamelcontract,10 x LV8 4-5 en 4 x LV8 10-10,Ron Wittebol,05-12-2025,2025/12,8831.80,10686.48,0.00,10686.48
e9ab9cbe-b1d1-44c6-b700-36f32f7482ab,VFA2504905,DE2200290,Grondslag,,Installatie uitleg,Ron Wittebol,05-12-2025,2025/12,316.00,382.36,0.00,382.36
fdd82543-48c8-4ebe-b365-bfbb7a8d93db,VFA2504904,A0007,Omgevingsdienst Brabant Noord,,Huur 3 x SP7 met accupack voor  04 december t/m 05 januari.,Ron Wittebol,05-12-2025,2025/12,3331.50,4031.12,0.00,4031.12
2eda02fb-c813-4fcd-a025-ab42cf1031f5,VFA2504903,DE2300319,Stantec,SCA230745 Stantec-Verzamelcontract,1 x LV8 4-5,Ron Wittebol,05-12-2025,2025/12,651.67,788.52,0.00,788.52
fd86bdf1-ef6e-4744-948d-1f7f791e7855,VFA2504902,DE1900193,Ingenieurs Bureau Land,SCA200440 Aanbesteding Zuid Holland-Lease-IBL77940.01,5x LV8 4L05 RESERVEVOORRAAD,Michelle Klijn,05-12-2025,2025/12,0.00,0.00,0.00,0.00
a40e0e16-b73d-4569-8999-5439de538f6b,VFA2504901,DE1600068,AKRON,SCA210519 Umicore,periode 01-11-2025 tot 01-11-2026,George Boersma,30-11-2025,2025/12,7020.06,7020.06,0.00,7020.06
f23faf4e-ce88-4fbd-89ed-90d202dfb346,VFA2504900,DE1600006,Gemeente Hengelo,SCA170208 Horecasensekit gemente Hengelo,periode 14-12-2025 tot 14-12-2026,Mirjam Stevens,01-12-2025,2025/12,214.66,259.74,259.74,0.00
39af2f28-2245-4f54-96b3-04bea3fec1b3,VFA2504899,DE1600006,Gemeente Hengelo,SCA180296 Losse gateway zonder SIM,Periodieke kosten 18/5-18/5,Mirjam Stevens,01-12-2025,2025/12,64.25,77.74,77.74,0.00
1fdaa32a-9707-4b65-b97d-3fdfcb068cad,VFA2504898,G0000,Gemeente Eindhoven,SCA240813 1 x SPC met extra 5m kabel,periode 05-12-2025 tot 05-12-2026 -> info FK 2 meters in portal 1x in SCA,,01-12-2025,2025/12,1804.95,2183.99,0.00,2183.99
4cb5499a-bdff-4e23-9088-907c7410ec6c,VFA2504897,DE1800188,Gemeente Deurne,SCA180302 2x vaste meetopstelling Markt - 1x mobiele set,periodieke kosten voor het 8e jaar in rekening,,01-12-2025,2025/12,3779.29,4572.94,4572.94,0.00
b6be3f35-ada5-4504-a40f-90bdc3ddbeed,VFA2504896,G0014,Gemeente Amsterdam,"SCA230737 1x Model ID1, outdoor information display P4",periode 01-12-2025 tot 01-12-2026,,01-12-2025,2025/12,1119.04,1354.04,0.00,1354.04
ead1774a-f110-46f8-9217-307686e599a5,VFA2504895,DE2100274,DCMR Milieudienst Rijnmond,SCA240821 Rotterdam oude haven (pilot),Nudging oude haven (pilot),,01-12-2025,2025/12,3150.00,3811.50,0.00,3811.50
b1a267bb-8826-454f-8df6-3193aa1f8e92,VFA2504894,DE2100286,Boven de Planken B.V.,SCA210538 Horecasenseset,periode 10-12-2025 tot 10-12-2026,,01-12-2025,2025/12,359.00,434.39,0.00,434.39
3cdca67d-f6e3-412a-b853-f0658d5cf022,VFA2504893,DE1600068,AKRON,SCA200395 Brussel Buda Brussels,periode 01-12-2025 tot 01-12-2026 -> crediteren geen PO-nummer,George Boersma,01-12-2025,2025/12,429.32,429.32,429.32,0.00
5089e94a-a1ca-42ff-a7a6-c6a114e22fe0,VFA2504892,A0000,Aveco de Bondt B.V.,SCA170095 AVECO_portal-projectnummer 215753 250,PORTALKOSTEN NOV-> PER 1-dec -> CONCEPT naar Ralph-> 8 dec naar admin en doorboeken,Hans Mulder,30-11-2025,2025/11,46022.42,55687.13,0.00,55687.13
18b19d9a-bc3b-45c8-ba82-faca4378899b,VFA2504891,DE1600068,AKRON,SCA220610 Citribel-3x SPC,3x SPC Citribel per.kn. 1/12-1/12-> versturen 1-12,,01-12-2025,2025/12,2960.66,2960.66,0.00,2960.66
8084c4eb-76df-4a82-b5e4-642d1ea79b85,VFA2504890,DE1600068,AKRON,SCA170195 DP WORLD / LCT LIEGE - 1x SPA,periodieke kosten 1/12-1/12--> versturen 1 dec,George Boersma,01-12-2025,2025/12,841.35,841.35,0.00,841.35
071d0f2c-5b48-4d5f-b55e-b18324c9ee6c,VFA2504889,DE2200307,Socotec Geotechnics,SCA250896 Amsterdamse Kademuren LEASE,Amsterdamse Kademuren LEASE-> intern,Michelle Klijn,01-12-2025,2025/12,0.00,0.00,0.00,0.00
7bfc2dd1-8fe8-4ea8-bb66-29868d0d1b42,VFA2504888,DE1600068,AKRON,,Vervangende ZGD en spare voor horeca sense Leuven,,28-11-2025,2025/11,0.00,0.00,0.00,0.00
04c36ef8-e6d5-4b47-b521-b0c0ac9ff326,VFA2504887,DE1600068,AKRON,SCA250895 1x Horecasense Basis-café/groep COLLECTIF METTEURS EN PIECES,1x Horecasense Basis-café/groep COLLECTIF METTEURS EN PIECES,Michelle Klijn,28-11-2025,2025/11,1075.50,1075.50,0.00,1075.50
9922c5e6-e0d7-4c9a-9687-1ccd3bf05689,VFA2504886,DE2300342,Nepocon BV,,3 x batterij LV8 service,Ron Wittebol,28-11-2025,2025/11,0.00,0.00,0.00,0.00
1e5d60d3-1db7-4fe1-9ee1-ba922e80347b,VFA2504885,DE1900219,Wiertsema & Partners Raadgevend Ingenieurs,,RMA-W22 (CHP),,28-11-2025,2025/11,600.00,726.00,0.00,726.00
3ba59fa3-2ba6-4cf5-a279-1500521073f6,VFA2504884,DE1800152,BOOT organiserend ingenieursburo B.V.,,SBA250687 -> info JT voor facturatie,Irene Barten,28-11-2025,2025/11,310.20,375.34,375.34,0.00
450c8e7e-337a-4e16-976f-2540dd6908f7,VFA2504883,DE2300336,WSP Nederland B.V,SCA230695 WSP_Verzamelcontract,1 x LV8 4-5,Ron Wittebol,28-11-2025,2025/11,740.33,895.80,0.00,895.80
9272c20b-549a-4ba9-b96f-97ee2fe699df,VFA2504882,DE1600012,Waterschap Rijn en IJssel,,RMA W-08,,28-11-2025,2025/11,401.00,485.21,485.21,0.00
37fc47a0-25b9-41e3-8de3-0f22c127546b,VFA2504881,DE1900219,Wiertsema & Partners Raadgevend Ingenieurs,,RMA-W15  Diverse RMA,,28-11-2025,2025/11,115.00,139.15,0.00,139.15
9dbcf591-732e-455c-9044-56a7a6abadc1,VFA2504880,DE2000251,THV RoTS,SCA240753 THV-RoTSverzamelSCA (p.kw.),Meetnet THV Rots nieuwe divers ( ond. ronde ),Ron Wittebol,28-11-2025,2025/11,5375.15,5375.15,0.00,5375.15
725f31de-5ba3-4cc2-8fd5-add751520631,VFA2504879,DE1600041,ATKB,SCA240808 1 QU watermeter  zuurstofmeting,2 x Zuurstofmeters,Ron Wittebol,28-11-2025,2025/11,3472.50,4201.73,0.00,4201.73
1355d9bd-7c3e-4bea-bd49-9b072d463ed8,VFA2504878,DE1800176,Sweco Nederland B.V.,SCA240756 SWECO-NL Verzamelcontract- (p.kw.),2 x LV8 4-5,Ron Wittebol,28-11-2025,2025/11,1076.10,1302.08,1302.08,0.00
a421fd00-4aa6-427d-aa92-854e7c8848dd,VFA2504877,DE2400363,Dryp A/S,SCA240798 16x+8x neerslagmeters,periodieke kosten 20/8-20/8-> debet 50% korting,,25-11-2025,2025/11,803.60,803.60,0.00,803.60
ef060a8e-dfa6-4a88-9ed5-cec1471b3438,VFA2504876,DE2400363,Dryp A/S,SCA240798 16x+8x neerslagmeters,periodieke kosten 20/8-20/8 -. credit 12 mnd,,25-11-2025,2025/11,-1607.21,-1607.21,-1607.21,0.00
ffeb656b-2ac1-42ae-8304-a0221a9eb876,VFA2504875,DE1600068,AKRON,SCA210520 Horecasense Brussel,periodieke kosten   14/10-31/12-,,25-11-2025,2025/11,50.18,50.18,0.00,50.18
aeb2c0b6-1a7f-487f-bb86-b90e26b9f835,VFA2504874,DE2400377,Ingenieursbureau Kragten bv,SCA240820 Kragten-Verzamelcontract,2 waterspanningsmeter,Ron Wittebol,24-11-2025,2025/11,2290.00,2770.90,2770.90,0.00
94e9215d-987d-4967-8248-eaa857dc2a98,VFA2504873,DE1900219,Wiertsema & Partners Raadgevend Ingenieurs,SCA240762 Wiertsema_Verzamelcontract (p.kw.),35x LV8 10L15,Michelle Klijn,24-11-2025,2025/11,22279.95,26958.74,0.00,26958.74
df989f22-bdef-48c6-8902-36403ea3c1b8,VFA2504872,DE2100275,Aeres Milieu,SCA230670 Aeres-Verzamelcontract,2 x LV8 4-5,Ron Wittebol,24-11-2025,2025/11,1378.00,1667.38,0.00,1667.38
4c1d5c68-bd8b-4cdb-b9c7-201c80d0cdcd,VFA2504871,DE1600068,AKRON,,1x maatwerk lange paal Leuven,Michelle Klijn,24-11-2025,2025/11,700.00,700.00,0.00,700.00
e11d2cf3-f107-4dfc-9f81-af3857ff2c8b,VFA2504870,DE1600068,AKRON,SCA250866 12x SP7 + 5x SPC Arcelor Mittal (Waalse afdeling),12x SP7 + 2x SPC (NTL 3x SPC) Arcelor Mittal-Waalse afdeling,Michelle Klijn,24-11-2025,2025/11,45223.87,45223.87,0.00,45223.87
9a9b47b7-7691-4cdc-adf1-a5438c5eceae,VFA2504869,DE2200307,Socotec Geotechnics,SCA250867 HDSR - 25SP0966 - Lease,HDSR 2x 10/10 +  16xLV4/5,Michelle Klijn,24-11-2025,2025/11,0.00,0.00,0.00,0.00
059bf131-7d7c-4ad1-b1d5-a7a6aa718533,VFA2504868,A0002,Alcedo Beheer BV,,Huur 3 geluidmeter klasse 1  voor periode van 1 week,Ron Wittebol,17-11-2025,2025/11,2200.50,2662.60,2662.60,0.00
2a233e39-c509-4016-bd37-ac0d14144432,VFA2504867,DE2400377,Ingenieursbureau Kragten bv,SCA240820 Kragten-Verzamelcontract,2 x LV8 4-5  Aanvulling op VOA 2502309,Ron Wittebol,17-11-2025,2025/11,1378.00,1667.38,1667.38,0.00
062b07d1-bd49-4f27-8fd7-6f2af2bc6608,VFA2504866,DE2300337,DPD consultancy Recherchebureau,SCA230700 2x SPC geluidmeter,msspcnb0281nakijken en hercertificeren.,Ron Wittebol,17-11-2025,2025/11,535.00,647.35,647.35,0.00
3b71dde9-6038-4f27-bb31-edd6e3b532df,VFA2504865,DE1800176,Sweco Nederland B.V.,SCA240756 SWECO-NL Verzamelcontract- (p.kw.),3 x LV8 4-5,Ron Wittebol,17-11-2025,2025/11,1664.53,2014.08,2014.08,0.00
43730d71-f7a1-41d8-951c-b66e9821801e,VFA2504864,DE1800176,Sweco Nederland B.V.,,20 x LV5 batterijen,Ron Wittebol,17-11-2025,2025/11,408.00,493.68,493.68,0.00
019bb6b9-6039-4a35-943a-7d2c2bb8b039,VFA2504863,A0000,Aveco de Bondt B.V.,,100x LVR,Michelle Klijn,17-11-2025,2025/11,15300.00,18513.00,18513.00,0.00
034d2815-4284-493d-b7fc-a3bff81423b2,VFA2504862,DE2200290,Grondslag,SCA220565 Grondslag-Verzamelcontract,2 x LV 8 4-5,Ron Wittebol,17-11-2025,2025/11,1322.00,1599.62,1599.62,0.00
9ff09088-ed7a-4d57-b330-8d6632b61cd7,VFA2504861,DE1900219,Wiertsema & Partners Raadgevend Ingenieurs,,10 x Batterij LV5 en 10 x LV8,Ron Wittebol,14-11-2025,2025/11,459.00,555.39,555.39,0.00
ef9518e4-3d47-47ea-bec6-8993f7967bd3,VFA2504860,A0000,Aveco de Bondt B.V.,SCA250886 Periodieke kosten Vallei en Veluwe,6x LV8 diverse (extra lange) kabellengtes Vallei en Veluwe (NTL 1x),Michelle Klijn,14-11-2025,2025/11,385.23,466.13,466.13,0.00
925bb15b-0590-4e51-8153-2023b9ff4707,VFA2504859,DE2300336,WSP Nederland B.V,,RMA-W31-interne factuur,,14-11-2025,2025/11,0.00,0.00,0.00,0.00
16b541f5-aa42-4426-83b1-b0d58a7b3cd2,VFA2504858,DE2400377,Ingenieursbureau Kragten bv,SCA240820 Kragten-Verzamelcontract,2 x LV8 4-5,Ron Wittebol,14-11-2025,2025/11,1378.00,1667.38,1667.38,0.00
6c7b379c-9eb6-48dd-b49b-6369d35f34bc,VFA2504857,A0000,Aveco de Bondt B.V.,,6x LV8 10l10 + 6x dop,Michelle Klijn,14-11-2025,2025/11,2381.66,2881.81,2881.81,0.00
27678319-8ab1-40bd-b1ee-d1ea0974c284,VFA2504856,A0010,Peutz,,Verlenging  2 weken huur 2 x SPC,Ron Wittebol,14-11-2025,2025/11,800.00,968.00,968.00,0.00
