ID,volg_nr,project_name,debtor_name,relatie_nr,financial_status,start_date,extention_datate,end_date,sales_order,sla_type,contact_name
5bf78af7-4753-4079-9d70-835b92059a0d,SCA250886,Periodieke kosten Vallei en Veluwe,Aveco de Bondt B.V.,Ralph  Meendering,,,,,"152.728,20",Warranty (5 year),
90b5a29b-11cd-4f54-a39a-d8ed23bf0778,SCA250885,150x LV8 4L05-WAM,Socotec Geotechnics,Patrick Michielsen,,16-09-2025,16-09-2026,,"59.212,50",Warranty (5 year),Irene Barten
55142120-364e-4b4b-9f21-9ab60a23ee9c,SCA250884,2 x LV8-4-5  project 20250631/SROS,Geofoxx B.V.,Steven  Ros,,,,,"1.300,10",Warranty (5 year),Irene Barten
dae86bca-2439-47c5-950b-87740e000daf,SCA250883,2 x Geluidduider incl. installatie,Gemeente 's-Hertogenbosch,Bas Janssen,,03-10-2025,03-10-2028,,"6.904,00",Full-Service,
44cba594-6a2d-4079-b4a5-7ea83bfab9e3,SCA250882,1 x geluidduider incl. montage,Gemeente Emmen,Gilbert Huysmans,,23-10-2025,23-10-2028,,"3.927,00",Full-Service,
8ea6036a-2220-4afc-bf23-d9dd64b76ff1,SCA250881,2 x LV8 4-5-project 20250902/TKOK,Geofoxx B.V.,Rob  Rekveldt,,25-08-2025,,,"1.300,10",Warranty (5 year),Irene Barten
1f97f3b4-cdf3-4483-8aeb-d5ca58beb222,SCA250879,1 x LV8 4L05-20250690 – Strausslaan in Tilburg,Geofoxx B.V.,Joshi  Lenferink,,30-07-2025,30-07-2026,,"650,05",Warranty (5 year),Irene Barten
66b572cd-3c34-4503-bae1-b9e9a0d2e760,SCA250878,4x GD1 Monitoring geluid Havenplein,Gemeente Helmond,Timo Schreurs,,25-08-2025,25-08-2028,,"15.582,00",Full-Service,
6abcd931-8c2f-41e4-b597-3f1c092dd04d,SCA250876,3 x LV8 4-5,Ingenieurs Bureau Land,Annemarie van den Bogert,,24-07-2025,24-07-2028,,"1.916,40",Warranty (5 year),
dd44d9b9-bb1b-4b8f-876f-cfbc3fbca675,SCA250875,3 x LV8 4-5-20250715/RREK,Geofoxx B.V.,Rob  Rekveldt,,17-07-2025,17-07-2026,,"1.950,15",Warranty (5 year),Irene Barten
99d9cdd1-9296-4bc4-adcf-f16ea5438a0f,SCA250874,1 x SPC met toebehoren.,Omgevingsdienst Regio Utrecht,John Ruijer,,04-08-2025,04-08-2028,,"8.994,50",Carry-IN,
1f7c7ee8-01d7-45e6-8e70-6f03dd1b908e,SCA250873,NP2 geluidmeter-Spaansche Hof,RE:BORN CIX BV,Jouke  Hennipman,,18-07-2025,18-07-2028,,"3.305,00",Carry-IN,
765620ac-b8fe-4fb0-99a3-b0bf75ba8d8e,SCA250872,6 x LV8 4-5,Geofoxx B.V.,Jens van Griensven,,10-07-2025,10-07-2026,,"3.900,30",Warranty (5 year),Irene Barten
ef9ac377-4a73-4d30-a2c6-62ddb5362284,SCA250871,1x Horecasense  Leuven + tablet weborder 272,Vilma bv Alegria,Bram Piqeur,,16-06-2025,16-06-2028,,"898,00",Warranty (3 year),
a5340639-7e49-43ac-b10b-6a52378e95d5,SCA250870,2 x LV8 4-5 | Project ZuiderC Lelystad,ABO Geosonda,Kees Kortekaas,,16-06-2025,,16-06-2026,"1.490,00",Warranty (5 year),Ron Wittebol
36d5429a-d1b1-493d-b003-e532e4a92eb9,SCA250869,Aanbesteding Papendrecht 62x,Ingenieurs Bureau Land,Ad  van der Horst,,01-07-2025,01-07-2026,,"10.540,00",Full-Service,
5c5f6bba-e973-4fe9-8a84-fda950ec05c2,SCA250868,LaatJeHoren-GEMEENTE AMSTERDAM,Munisense BV,Project LaatJeHoren,,12-06-2025,12-06-2026,12-06-2025,"9.545,00",Full-Service,
08fa482b-3c3a-4f3a-801d-7515b331f496,SCA250867,HDSR - 25SP0966 - Lease,Socotec Geotechnics,Patrick Michielsen,,02-06-2025,02-06-2026,,"49.169,77",Full-Service,Irene Barten
9caae00d-8140-4f83-841d-bcd97fbfc565,SCA250866,12x SP7 + 5x SPC Arcelor Mittal (Waalse afdeling),AKRON,Gerda Lauwers,,24-11-2025,24-11-2028,,"45.223,87",Warranty (5 year),
bc6fceed-fbcd-4948-a447-9fb32b77da98,SCA250865,Akron-Arcelor Mittal-16x,AKRON,Pieter Vanhonacker,,01-01-2025,,,"7.518,53",Warranty (1 year),Mirjam Stevens
74cc2d99-eb50-4d2b-8fca-0a8c04040d89,SCA250864,15 x GD1 meetnet Den Haag 1 jaar,Gemeente Den Haag,Jochum Buchener,,18-07-2025,18-07-2026,,"64.715,00",Full-Service,
b45c225e-2508-4cbf-8129-8e5a9b76f253,SCA250863,1 x LV8 4-5-20250568/RREK,Geofoxx B.V.,Rob  Rekveldt,,12-05-2025,12-05-2028,,"665,05",Warranty (1 year),Irene Barten
7e35dc0e-73a5-41c1-b984-f63b1bcfb476,SCA250862,2 x LV8 4-5-20250569/RREK,Geofoxx B.V.,Rob  Rekveldt,,12-05-2025,12-05-2028,,"1.315,10",Warranty (1 year),Irene Barten
b575af83-604d-4a85-83c0-b4b445c34399,SCA250861,2  LV8 4-5- 20250570/RREK,Geofoxx B.V.,Rob  Rekveldt,,12-05-2025,12-05-2026,,"1.315,10",Warranty (1 year),Irene Barten
a8b17cfc-6897-4ef8-afad-b7ae03858496,SCA250860,3 x SPC + 3 x UP2 4 jaar,MIP Electronics,Irja Perkins,,16-05-2025,16-05-2029,,"19.726,63",Warranty (1 year),
97d0ad9a-28ed-426f-b794-6d577b0b1f47,SCA250859,Lease 17 x LV8 1 jaar,Certicon Kwaliteitskeuringen B.V.,Wim  Kap,,13-05-2025,13-05-2026,,"6.698,00",Full-Service,Irene Barten
703f5530-4974-45e2-9c36-5d160fce32b1,SCA250858,1 x NP4,Vreugdenhil dairy foods,Amarins Goerres-van der Heide,,02-05-2025,02-05-2028,,"4.315,00",Carry-IN,
3bf62213-403a-4196-bb8a-105448385e6d,SCA250857,VerzamelSCA-6x SPA/SPC - OGD ZO Brabant,Omgevingsdienst Zuidoost Brabant,Frank Heijmans,,01-01-2025,01-01-2026,,"11.103,35",Carry-IN,
bd955be4-f40f-4e15-a1b3-0c1d7586fb0b,SCA250856,2x LV8 4-5- project ‘20250286 - willemsbuiten in Tilburg’,Geofoxx B.V.,Joshi  Lenferink,,26-04-2025,26-04-2026,,"1.300,10",Warranty (1 year),Irene Barten
73419042-8b0c-4fe6-9615-9fd2a1e57f58,SCA250855,1x HorecaSense-GEMEENTE KORTENBERG,AKRON,Gerda Lauwers,,28-04-2025,28-04-2028,,"0,00",Warranty (1 year),
e7963a52-8d4c-4721-b888-4761e8df0399,SCA250854,1x LV8 4L05-IBL79186,Ingenieurs Bureau Land,Karst Busstra,,26-04-2025,26-04-2026,,"638,80",Warranty (1 year),
2bf3b616-5a28-404c-8320-8ed4b6b14b95,SCA250853,3x LV8 4L05-ALgemene vrd,Ingenieurs Bureau Land,Karst Busstra,,28-04-2025,28-04-2026,,"2.276,40",Warranty (1 year),
a54eae86-b853-4239-924c-6a55db3ddb44,SCA250852,5x LV8 4L05-IBL78448.66,Ingenieurs Bureau Land,Karst Busstra,,26-04-2025,26-04-2026,,"3.194,00",Warranty (1 year),
470ac84b-a7f9-4831-aa26-c4b38b41d39c,SCA250851,1x LV8 10L15,Rambøll Norge AS,Robbert van de Ven,,,,,"796,00",Warranty (1 year),Irene Barten
da76fc9c-ee6a-4e9c-ac17-bf108ea39841,SCA250850,SPC+WHS,Sonora S.r.l.,Andrea Esposito,,24-04-2025,24-04-2027,,"8.354,82",Warranty (1 year),
54b37703-b76c-4707-b5ff-1cb8b9975c5e,SCA250849,1x Horecasense Leuven,Woonschip Stella,Alain Rens,,31-03-2025,,31-03-2028,"699,00",Warranty (1 year),
3dc30d1d-36c9-435b-a630-e9949462c045,SCA250848,Horecasense-Huis der rechten,Huis der Rechten vzw,Lisa Steegmans,,12-03-2025,12-03-2028,,"699,00",Warranty (3 year),
bc3c34d5-5171-421f-b5f6-91ac0a93a9bb,SCA250847,VerzamelSCA 14 x LV8 4-5 | Project ZuiderC Lelystad,ABO Geosonda,Kees Kortekaas,,03-03-2025,03-03-2026,,"8.940,00",Warranty (1 year),Ron Wittebol
a38572a6-283f-4bc0-9d80-fe6bff1cab2a,SCA250846,1x NP8-JH De ZoeNK,JH De ZoeNK,Jannes Urlings,,27-02-2025,27-02-2028,,"1.398,00",Warranty (1 year),
296d1aca-28c9-40c0-8c8b-091674807321,SCA250845,126x LV8 10L10; 10x LV8 10L15 Aanbesteding WRIJ,Socotec Geotechnics,Patrick Michielsen,,24-04-2025,24-04-2026,,"70.046,78",Warranty (1 year),Irene Barten
7497cc66-5c47-468c-ab73-79e8844bc26e,SCA250844,2x LV8 4L05-IBL78201.17,Ingenieurs Bureau Land,Annemarie van den Bogert,,26-02-2025,26-02-2026,,"1.277,60",Warranty (1 year),
79c518ea-81ab-42bb-9e70-55254bae936c,SCA250843,2x NP2 UNILIN,AKRON,Gerda Lauwers,,01-03-2025,01-03-2028,,"3.712,43",Warranty (1 year),
4624d1fc-af5a-407b-aa8a-aa04d819a1c2,SCA250842,Horecasense-Cafe Sport Leuven,Cafe Sport Leuven BVBA,Mike Naert,,20-02-2025,20-02-2028,,"898,00",Warranty (3 year),
c553a226-8be4-4d10-8bd6-9f66217a5d9a,SCA250841,Switch-NP2 1x- GD1 1x,Switch Horeca BV,Remco Heussen,,25-02-2025,25-02-2028,,"5.075,00",Carry-IN,
78009f03-02f3-40d4-8ca6-b82231e4e7f0,SCA250840,2 geluidmeters,Omgevingsdienst Rivierenland,Evert  Kuijs,,19-02-2025,19-02-2028,,"17.214,00",Warranty (1 year),
2bf5a686-b7c3-42bb-be33-09956395f48b,SCA250839,6x LV8 4L05-78138.01+02,Ingenieurs Bureau Land,Annemarie van den Bogert,,17-02-2025,17-02-2026,,"3.832,80",Warranty (1 year),
72b614a8-3da9-458d-a03e-2ca588032427,SCA250838,1 x SPC-DPD,DPD consultancy Recherchebureau,Vanessa Middelkoop,,13-02-2025,13-02-2028,,"7.557,50",Carry-IN,Irene Barten
0ea23222-6ad0-4850-bf3f-842e1a089177,SCA250837,2 x SP7-De Geluidpraktijk,De Geluidpraktijk,Robert Laan,,18-02-2025,18-02-2028,,"5.031,75",Carry-IN,
9da7b3c3-01eb-4be0-8343-f86e0ee2d24f,SCA250836,NP9-meetproject woonhuizen,RIVM,Nick Mabjaia,,20-01-2025,20-01-2027,,"4.983,36",Warranty (1 year),
c8a7aa51-d8ba-46c3-8e70-702f51c8526b,SCA250835,4x SP7-Akron-WeertsGroup,AKRON,Gerda Lauwers,,06-02-2025,06-02-2028,,"7.409,72",Warranty (1 year),
00f0ffae-b617-4138-8c53-d165f2d02860,SCA250834,2 x NP2-Gemeente Ede,Gemeente Ede,Angelique Gerritsen,,12-06-2025,12-06-2028,,"7.154,00",Full-Service,
6184c705-8f26-4f12-a18e-073906d1874e,SCA250833,6x LV8 45-5-2025-0011/RREK,Geofoxx B.V.,Rob  Rekveldt,,27-01-2025,27-01-2026,,"3.855,30",Warranty (1 year),Irene Barten
b7ee1f78-de74-46ae-8e7b-5f86df41570c,SCA250832,vanDijkMaasland_Verzamelcontract,Van Dijk Maasland B.V.,'Michiel van der Gaag,,27-01-2025,27-01-2026,,"2.869,00",Warranty (1 year),Ron Wittebol
6de82d5e-48ff-4d8e-8ca4-393487fc3515,SCA250831,4 x geluidduider,Gemeente Hengelo,Thijmen Bertelink,,23-05-2025,23-05-2028,,"12.538,65",Full-Service,Mirjam Stevens
1a3790e0-e760-4dd1-8d03-0420cce8cb28,SCA250830,SOCOTEC-Aanbesteding WRIJ-Projectnr: 24SP2864 38x,Socotec Geotechnics,Matthew  Pegels,,15-01-2025,15-01-2026,,"66.268,03",Full-Service,Irene Barten
2cda7121-b7e8-42f8-bcea-c4b7cfcbffec,SCA250829,kan vervallen,Sweco Nederland B.V.,Rick Boeve,,06-01-2025,,06-01-2025,"0,00",Warranty (1 year),
10222d16-aa3e-4da3-bf57-bfb3407bd82f,SCA240828,1x Horecasense Leuven-SP8-BVBA DeHut,Bar Vista/BVBA Dehut,Jeroen Janssens,,07-01-2025,07-01-2028,,"898,00",Warranty (1 year),
b91bfce7-7ff8-42d6-9cef-c794f611df59,SCA240827,kan vervallen  100 x LVR en 20 x batterij LV7,Aveco de Bondt B.V.,Ralph  Meendering,,19-12-2024,,19-12-2024,"0,00",Warranty (1 year),
d700cca8-d48d-4fb4-a839-443e3c062f9e,SCA240826,circuit Meppen 3 meters,Maessen Moto World GmbH,Cees Prins,,20-12-2024,20-12-2027,,"3.407,75",Carry-IN,
e7da45c5-fdbd-48d6-840b-15339dd27098,SCA240825,78761-project GWM Gelderland deel 1,Ingenieurs Bureau Land,Karst Busstra,,01-10-2023,30-04-2028,,"18.791,50",Full-Service,
e045a475-c5cd-4893-8e23-c9d55ae18258,SCA240824,1 x SP7-OGD Twente,Omgevingsdienst Twente,Leon  Masséus,,16-12-2024,16-12-2027,,"3.009,95",Warranty (1 year),Irene Barten
c4257af1-3dd2-4c3b-a751-c8468d9a09fe,SCA240823,NP4-msnp4f70055,Sonora S.r.l.,Andrea Esposito,,10-12-2024,10-12-2027,,"0,00",Warranty (1 year),
87b8d036-dbb4-47d1-aaaa-d1cc20f691f8,SCA240822,"demokit ""de oorzaak""",n4o bv,Erik Roelofsen,,,,,"0,00",Warranty (1 year),
053df093-bf0c-4052-9747-957a53490674,SCA240821,Rotterdam oude haven (pilot),DCMR Milieudienst Rijnmond,Jan Potter,,30-12-2024,30-12-2027,,"33.907,00",Warranty (1 year),
fc11dba5-ed68-4204-880f-c1abbef20548,SCA240820,Kragten-Verzamelcontract,Ingenieursbureau Kragten bv,Rhodé  Rijneveld,,29-11-2024,29-11-2025,,"16.417,50",Warranty (5 year),
697f7b54-b1bb-4d93-8949-0dcabf101526,SCA240819,Aanbesteding Haarlem p.kw.,Gemeente Haarlem,René Blom,,01-12-2024,01-01-2026,,"65.442,16",Full-Service,
3df2993a-3724-42ca-82fa-7326343c6922,SCA240818,4x LV8 4L05-IBL78201.27,Ingenieurs Bureau Land,Annemarie van den Bogert,,15-11-2024,15-11-2025,,"2.501,92",Warranty (1 year),
de43753a-d461-4d18-bc92-9edeeaa6be1c,SCA240817,"3x Horecasense-ECOLE ROYALE MILITAIRE, BATIMENT L",AKRON,Gerda Lauwers,,06-11-2024,06-11-2027,,"2.911,50",Warranty (3 year),
b9f487b8-c6ed-40f2-bad5-d40ae5644fc1,SCA240816,1 x SPC,Gemeente Venlo,Peter Wijnhoven,,07-11-2024,07-11-2027,,"8.161,55",Carry-IN,
5d0c31a5-e8fa-43f5-9a6a-d9e319dcc150,SCA240815,4x GD1-Maasboulevard,Gemeente Rotterdam,Frank Akkermans,,30-12-2024,30-12-2025,,"29.480,00",Warranty (1 year),
eeae8199-cb5e-43cc-891a-143c4d2c1f60,SCA240814,Aanbesteding verderzetting Leuven,Stad Leuven,Yo Saint,,01-01-2024,01-01-2028,,"77.357,00",Full-Service,
5f22c2a7-2b72-4303-9f99-6755fcb1df31,SCA240813,1 x SPC met extra 5m kabel,Gemeente Eindhoven,Melvin van Lieshout,,05-12-2024,05-12-2027,,"12.388,00",Carry-IN,
84ec39e4-67af-4731-a315-36b9313b5b40,SCA240812,2x GD1-Stad Leuven,Stad Leuven,Tim Guilty,,01-08-2024,01-08-2027,,"8.295,00",Warranty (1 year),
a9460fc2-0171-4e26-bf25-886a20e2d23d,SCA240811,PWN_Verzamelcontract,PWN Waterleidingbedrijf NH,Bas Des Tombe,,14-11-2024,14-11-2027,,"26.030,91",Warranty (1 year),
4d98f97b-c367-4458-bd1f-bb706aff1120,SCA240810,1x SPC Klasse 1 NMS'-Gasunie,WarmtelinQ Transport Services B.V.,Ingmar De Baat,,30-09-2024,30-09-2027,,"9.136,75",Warranty (1 year),
e165cb43-285d-45e6-9ce9-3884612bd244,SCA240809,2 x SP7,Omgevingsdienst Twente,Leon  Masséus,,16-09-2024,16-09-2027,,"5.718,00",Warranty (1 year),Irene Barten
c335cdca-a89a-4e9e-bbab-61faf0eac8cf,SCA240808,1 QU watermeter  zuurstofmeting,ATKB,Max  van der Boog,,29-08-2024,29-08-2027,,"6.738,30",Warranty (1 year),
f136b71d-127f-4665-9982-ccf299be541a,SCA240807,32x LV8 + 9x PP8-project 24SP1908,Socotec Geotechnics,Henk Bardoel,,01-09-2024,01-03-2025,,"26.464,06",Warranty (1 year),Irene Barten
233d3d3f-b925-4924-a9ed-4a1fe81ac6b5,SCA240806,ARCELOR MITTAL-1x SPC,AKRON,Gerda Lauwers,,30-08-2024,30-08-2027,,"4.439,24",Warranty (1 year),
aa7a5b1d-2719-4dcc-b772-8ee611b70f55,SCA240805,3 x LV8 4/5,Sarpi Remediation B.V.,Eva Bakker,,30-08-2024,30-08-2025,,"2.188,50",Warranty (1 year),
ecfa3609-358a-4d11-abaa-5a327bdd93ec,SCA240804,Aanbesteding Gent/Leuven NP9+GD1,AKRON,Pieter Vanhonacker,,01-10-2024,31-03-2026,,"147.821,68",Full-Service,Mirjam Stevens
d4490ad2-8fe9-41c1-b6f1-bee1dbf009f6,SCA240803,DEMO LV8 4/5,Geonius Geotechniek BV,Frank den Daas,,29-07-2024,29-07-2025,29-07-2025,"0,00",Warranty (1 year),
dc5828b0-e315-46a0-9144-a9d8400f0bf5,SCA240802,Onderhoud Almere 15x,Hanab Telecom Netwerk Solutions bv,Alexander Wasiak,,16-07-2024,16-01-2026,,"27.041,09",Carry-IN,
854fd775-3a9e-4930-b2b8-4f735a30a66b,SCA240801,2x NP9,DeNoize BV,Aman Jindal,,17-04-2024,,,"9.742,80",Warranty (1 year),
88d814d1-7861-4c5e-8eb6-c96eef574068,SCA240800,3 x SPC en abonnement voor 5 jaar,Gemeente Heerlen,Dave  Remmers,,12-08-2024,12-08-2029,,"35.929,50",Warranty (1 year),
33cd6e43-95f7-472b-b6d8-069087f11861,SCA240799,Herplaatsen LED-schermen,Gemeente Amsterdam,Carlo Schoonebeek,,10-07-2024,10-07-2025,,"58.556,00",Full-Service,
876c9339-8767-4987-ab41-4668eff9450e,SCA240798,16x+8x neerslagmeters,Dryp A/S,Peter Skovgaard Rasch,,20-08-2024,20-08-2025,,"13.661,70",Warranty (1 year),
5b0ab8d9-1737-4f16-a182-ce4e934e6f41,SCA240797,Nedmag VerzamelSCA- Full-Service,Nedmag B.V.,Evert  Molenkamp,,01-07-2024,01-07-2025,,"7.302,00",Full-Service,Irene Barten
59a04d84-2d9c-4d8b-b217-6e03edfea0cc,SCA240796,3x LV8 4L05,Ingenieurs Bureau Land,Annemarie van den Bogert,,04-07-2024,04-07-2025,,"1.876,44",Warranty (1 year),
54777c8a-ee01-471c-ba23-6d1303c2d48f,SCA240795,ALCEDO-WAT-Verzamelcontract,Alcedo Beheer BV,Freddy Rutterkamp,,01-01-2024,01-01-2025,,"0,00",Warranty (1 year),
34ff583e-77dd-47e4-a9e1-376c8b2b3d9c,SCA240794,19x LV8,VCMI Veldwerk NV,Jeroen Eversen,,06-04-2023,06-04-2024,31-12-2024,"15.978,40",Warranty (1 year),
ac394109-44d2-4c97-8285-b3d6e9d5cb82,SCA240793,4 x LV8,Jantril Monitoring BV,Ernst Seaber,,18-06-2024,18-06-2027,,"2.918,00",Warranty (1 year),
50f651e5-9734-4534-b7c1-56cca87306a2,SCA240792,BuroHoogstraat-Verzamelcontract,Buro Hoogstraat B.V.,Rob Haenen,,18-06-2024,18-06-2025,,"50.626,94",Warranty (1 year),
c35c46c9-4eff-4760-a395-379531fb39d1,SCA240791,43x LV8 lease -24SP1496,Socotec Geotechnics,Patrick Michielsen,,03-06-2024,03-06-2027,,"8.600,00",Carry-IN,Irene Barten
7d59c348-9c25-4d9f-92f8-8079dc0ae483,SCA240790,3 x NP2-67400000,Gemeente Maashorst,Maira de Jong van Lier,,21-08-2024,21-08-2025,21-08-2025,"10.796,50",Warranty (1 year),
c4929c2b-0999-4317-8221-daf37b62c98b,SCA240789,4 x SP7- E1044,Peutz,Leon Lemmers,,14-06-2024,14-06-2027,,"7.156,98",Carry-IN,
0a58ddba-934e-4656-9284-4d969dd308b9,SCA240788,2 x GD1= leefbare wijken en dorpen binnenstad-3361,Gemeente Almelo,Hans Radstaak,,23-07-2024,23-07-2027,,"5.706,75",Warranty (1 year),
5adede9e-ac72-4f73-8967-e066a689b76c,SCA240787,1x NP2,Urban Lighting Innovations GMbH,Peter Heuser,,31-05-2024,31-05-2025,,"2.126,82",Warranty (1 year),
bb967a57-a4ac-4eb9-93b7-0e21bdf3f244,SCA240786,1 x SPC + 1 x Weerstation + CAS4,Sonora S.r.l.,Nicola Russo,,12-06-2024,12-06-2027,,"7.928,91",Warranty (1 year),
47e98a8d-4ae4-42e5-8bb7-9864a6d9328d,SCA240785,2x LV8- Megaborn,Megaborn,Kees Koreman,,14-06-2024,14-06-2027,,"419,00",Warranty (1 year),
5b71cd3e-1dd4-417c-81bd-764a6691ad19,SCA240784,2x SP7 JOST GROUP,AKRON,Gerda Lauwers,,30-05-2024,30-05-2027,,"4.494,30",Warranty (1 year),
17200efe-5e6d-4931-87ea-1856ebfa8c23,SCA240783,3x GD1- MSA-240422-3-Full service,Gemeente Dordrecht,Robert Kraak,,05-07-2024,05-07-2025,,"10.189,98",Full-Service,
a7cd3093-6b10-4da7-a08c-a8ead893c1a1,SCA240782,1 x NP4- Full-Service,Gemeente Nijmegen,Boudewijn  Overes,,05-07-2024,05-07-2025,,"5.452,00",Full-Service,
0801821b-e77a-451c-b588-2d08ac3eaf83,SCA240781,5x GD1-Pilot Oude Haven,DCMR Milieudienst Rijnmond,Jan Potter,,18-07-2024,18-07-2027,,"34.350,00",Warranty (1 year),
3f95ed82-19d1-45c6-baf3-863b403d2609,SCA240780,Geofoxx-Verzamelcontract-NIETS MEER TOEVOEGEN!,Geofoxx B.V.,Joshi  Lenferink,,29-05-2024,29-05-2025,,"14.099,65",Warranty (1 year),Irene Barten
989613dc-bec1-4e7e-9fc4-820cbd439c29,SCA240779,1x SPC-ACOUSTICAL ENGINEERING,AKRON,Gerda Lauwers,,21-06-2024,21-06-2027,,"4.439,24",Warranty (1 year),
9b647195-bc92-4990-b6de-442799fe65cc,SCA240778,2x SP7-Naam Klant: TRILOGIPORT C1 Naam café/groep JOST GROUP,AKRON,Gerda Lauwers,,30-05-2024,30-05-2027,,"4.454,92",Warranty (1 year),
6ee8f4fb-2ed5-4e42-85a5-7bdf83775189,SCA240777,1 x SPC en 2 x NP4-30142688 OL,Gemeente Groningen,Jan Pieter de Vries,,31-05-2024,31-05-2027,,"19.744,90",Carry-IN,
4c435943-3a8e-461f-bf32-4508521d4a0c,SCA240776,1x SP7 Remote controle,Remote Rental,Simon van Eijk,,15-04-2024,15-04-2025,,"2.532,50",Warranty (1 year),Irene Barten
80a14145-fcea-4a65-8cd6-f1abad51375d,SCA240775,"Aequator-Verzamelcontract,",Aequator Groen & Ruimte bv,Klaas Willem van den Berg,,01-04-2024,01-04-2025,,"672,00",Warranty (1 year),
731f045e-13df-4e54-8ebe-18076657ec56,SCA240774,1x Horecasense Leuven-Brabanthal,Brabanthal NV,Leen van Barel,,02-04-2024,,,"898,00",Warranty (1 year),
2ade43e7-297f-4ff8-9579-f5615dae4f86,SCA240773,Mateboer-Verzamelcontract,Mateboer Milieutechniek B.V.,Hermen Bolks,,19-03-2024,19-03-2025,,"7.326,00",Warranty (1 year),
ef3b090f-51a3-430d-b32d-23aa90d73732,SCA240772,GD1,Sustainder,Thom Vermeulen,,18-04-2024,18-04-2027,,"1.689,31",Carry-IN,
2dbba27d-1e1d-4558-aa1f-6c71798ab454,SCA240771,ALCEDO-NOI-Verzamelcontract,Alcedo Beheer BV,Freddy Rutterkamp,,01-01-2024,01-01-2025,,"16.862,69",Carry-IN,
